diagnosis,severity
"Acute myocardial infarction, unspecified",HIGH
"J02.9 - Acute pharyngitis, unspecified",LOW
"crohn disease, unspecified",MEDIUM
Dysuria,LOW
"sepsis, unspecified organism",HIGH
N18.6 - End stage renal disease,HIGH
"J96.00 - Acute respiratory failure, unspecified",HIGH
F51.01 - Primary insomnia,LOW
low back pain,LOW
B20 Human immunodeficiency virus,HIGH
"Acute tonsillitis, unspecified",LOW
"acute respiratory failure, unspecified",HIGH
Calculus of gallbladder without obstruction,MEDIUM
"Post-traumatic stress disorder, unspecified",MEDIUM
gastro-esophageal reflux with esophagitis,MEDIUM
E10.10 - Type 1 diabetes with ketoacidosis,HIGH
E11.9 - Type 2 diabetes mellitus without complications,MEDIUM
G47.33 Obstructive sleep apnea,MEDIUM
"gastritis, unspecified",LOW
"H61.20 Impacted cerumen, unspecified",LOW
Gastro-esophageal reflux with esophagitis,MEDIUM
"Thrombocytopenia, unspecified - needs specialist referral",MEDIUM
"A49.9 Bacterial infection, unspecified",HIGH
"J18.9 Pneumonia, unspecified organism",MEDIUM
"malignant melanoma of skin, unspecified",HIGH
A09 - Infectious gastroenteritis and colitis,MEDIUM
M25.50 - Pain in unspecified joint,LOW
G47.33 Obstructive sleep apnea,MEDIUM
"J30.9 - Allergic rhinitis, unspecified",LOW
"Hydrocephalus, unspecified",HIGH
K57.30 - Diverticulosis of large intestine,MEDIUM
"crohn disease, unspecified",MEDIUM
"N17.9 - Acute kidney failure, unspecified",HIGH
"Malignant neoplasm of pancreas, unspecified - life-threatening, immediate intervention",HIGH
nervousness,LOW
J44.1 - Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"N39.0 - Urinary tract infection, site not specified",LOW
"Alzheimer disease, unspecified - advanced stage, palliative care discussed",HIGH
Malignant neoplasm of prostate,HIGH
"K51.90 - Ulcerative colitis, unspecified",MEDIUM
"Acute pharyngitis, unspecified - patient stable, outpatient treatment",LOW
B20 Human immunodeficiency virus,HIGH
"S06.9 - Intracranial injury, unspecified",HIGH
"Allergy, unspecified - patient stable, outpatient treatment",LOW
"Unspecified abdominal pain - minor condition, follow-up in 2 weeks",LOW
"I21.9 - Acute myocardial infarction, unspecified",HIGH
"J02.9 Acute pharyngitis, unspecified",LOW
"panniculitis, unspecified",LOW
"Type 2 diabetes mellitus without complications - chronic condition, ongoing treatment",MEDIUM
"Malignant neoplasm of prostate - critical condition, ICU admission",HIGH
Psoriasis vulgaris,MEDIUM
"Major depressive disorder, single episode, moderate - needs specialist referral",MEDIUM
F51.01 - Primary insomnia,LOW
contusion of ankle,LOW
"H66.90 - Otitis media, unspecified",LOW
"Rheumatoid arthritis, unspecified - needs specialist referral",MEDIUM
"I73.9 Peripheral vascular disease,",MEDIUM
"Epilepsy, unspecified, not intractable",MEDIUM
"Post-traumatic stress disorder, unspecified - chronic condition, ongoing treatment",MEDIUM
malignant neoplasm of unspecified part of bronchus or lung,HIGH
C50.919 Malignant neoplasm of,HIGH
chronic viral hepatitis c,MEDIUM
"Malignant neoplasm of pancreas, unspecified",HIGH
infectious gastroenteritis and colitis,MEDIUM
"Acute upper respiratory infection, unspecified",LOW
"Acute bronchitis, unspecified - needs specialist referral",MEDIUM
"acute bronchitis, unspecified",MEDIUM
benign prostatic hyperplasia without obstruction,MEDIUM
Chronic gingivitis,LOW
C61 - Malignant neoplasm of prostate,HIGH
M79.1 - Myalgia,LOW
"J96.00 - Acute respiratory failure, unspecified",HIGH
Liver cell carcinoma,HIGH
"N18.3 Chronic kidney disease,",MEDIUM
"Urinary tract infection, site not specified",LOW
"Liver cell carcinoma - life-threatening, immediate intervention",HIGH
"C18.9 - Malignant neoplasm of colon, unspecified",HIGH
"constipation, unspecified",LOW
"Contusion of finger - mild symptoms, no complications",LOW
Allergic rhinitis due to pollen,LOW
"schizophrenia, unspecified",HIGH
Infectious gastroenteritis and colitis - follow-up required in 1 week,MEDIUM
"acute upper respiratory infection, unspecified",LOW
Infectious gastroenteritis and colitis - follow-up required in 1 week,MEDIUM
G12.21 Amyotrophic lateral sclerosis,HIGH
Essential (primary) hypertension - follow-up required in 1 week,MEDIUM
Type 2 diabetes mellitus without complications,MEDIUM
"Impacted cerumen, unspecified ear",LOW
Human immunodeficiency virus (HIV) disease,HIGH
diverticulosis of large intestine,MEDIUM
"heart failure, unspecified",HIGH
"schizophrenia, unspecified",HIGH
"J43.9 - Emphysema, unspecified",HIGH
"Functional dyspepsia - mild symptoms, no complications",LOW
"S06.9 Intracranial injury, unspecified",HIGH
"L30.9 - Dermatitis, unspecified",LOW
E11.65 Type 2 diabetes,HIGH
M81.0 - Age-related osteoporosis without fracture,MEDIUM
R10.9 - Unspecified abdominal pain,LOW
"A49.9 - Bacterial infection, unspecified (severe)",HIGH
L60.0 - Ingrowing nail,LOW
"Gastritis, unspecified - self-limiting condition",LOW
"Acute leukemia of unspecified cell type - critical condition, ICU admission",HIGH
Pain in unspecified joint - self-limiting condition,LOW
"bipolar disorder, unspecified",MEDIUM
paroxysmal atrial fibrillation,MEDIUM
"bacterial infection, unspecified (severe)",HIGH
"F20.9 - Schizophrenia, unspecified",HIGH
"Sepsis, unspecified organism - acute emergency, rapid response",HIGH
"cardiac arrest, cause unspecified",HIGH
"Malignant neoplasm of unspecified site of breast - advanced stage, palliative care discussed",HIGH
I48.0 - Paroxysmal atrial fibrillation,MEDIUM
"malignant neoplasm of pancreas, unspecified",HIGH
"I50.9 - Heart failure, unspecified",HIGH
"Dermatitis, unspecified - patient stable, outpatient treatment",LOW
"acute bronchitis, unspecified",MEDIUM
contusion of ankle,LOW
"I73.9 - Peripheral vascular disease, unspecified",MEDIUM
"I73.9 Peripheral vascular disease,",MEDIUM
"C71.9 - Malignant neoplasm of brain, unspecified",HIGH
"D50.9 - Iron deficiency anemia, unspecified",LOW
"acute tonsillitis, unspecified",LOW
"I46.9 - Cardiac arrest, cause unspecified",HIGH
"Migraine, unspecified, not intractable - moderate symptoms, requires monitoring",MEDIUM
chronic gingivitis,LOW
"J45.20 - Mild intermittent asthma, uncomplicated",MEDIUM
"N18.3 - Chronic kidney disease, stage 3",MEDIUM
traumatic shock,HIGH
"Epilepsy, unspecified, not intractable - needs specialist referral",MEDIUM
S60.0 - Contusion of finger,LOW
"E78.5 - Dyslipidemia, unspecified",MEDIUM
Acute respiratory distress syndrome,HIGH
K05.10 - Chronic gingivitis,LOW
gastro-esophageal reflux with esophagitis,MEDIUM
contusion of finger,LOW
type 2 diabetes with hyperglycemia,HIGH
"Amyotrophic lateral sclerosis (ALS) - acute emergency, rapid response",HIGH
Amyotrophic lateral sclerosis (ALS),HIGH
Malignant neoplasm of prostate,HIGH
"Abdominal aortic aneurysm, ruptured",HIGH
Parkinson disease,MEDIUM
"K02.9 Dental caries, unspecified",LOW
"I50.9 - Heart failure, unspecified",HIGH
J00 Acute nasopharyngitis (common,LOW
"Malignant melanoma of skin, unspecified - critical condition, ICU admission",HIGH
Human immunodeficiency virus (HIV) disease,HIGH
"Allergy, unspecified",LOW
"Bipolar disorder, unspecified - chronic condition, ongoing treatment",MEDIUM
"panniculitis, unspecified",LOW
"Mild intermittent asthma, uncomplicated - stable but requires medication adjustment",MEDIUM
"acute myocardial infarction, unspecified",HIGH
primary insomnia,LOW
Chronic gingivitis,LOW
Dysuria,LOW
T14.0 Superficial injury of,LOW
"heart failure, unspecified",HIGH
"Dermatitis, unspecified",LOW
"Abdominal aortic aneurysm, ruptured",HIGH
"Otitis media, unspecified - self-limiting condition",LOW
"D69.6 - Thrombocytopenia, unspecified",MEDIUM
E10.10 - Type 1 diabetes with ketoacidosis,HIGH
"Malignant melanoma of skin, unspecified",HIGH
"B07.9 Viral wart, unspecified",LOW
myalgia,LOW
"Malignant neoplasm of unspecified part of bronchus or lung - severe presentation, urgent care needed",HIGH
"Chronic kidney disease, stage 3 - stable but requires medication adjustment",MEDIUM
dysuria,LOW
age-related osteoporosis without fracture,MEDIUM
"J20.9 - Acute bronchitis, unspecified",MEDIUM
"Bacterial infection, unspecified (severe) - critical condition, ICU admission",HIGH
"crohn disease, unspecified",MEDIUM
C34.90 Malignant neoplasm of,HIGH
Benign prostatic hyperplasia without obstruction - needs specialist referral,MEDIUM
"Acute pharyngitis, unspecified - mild symptoms, no complications",LOW
C34.90 - Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"I63.9 - Cerebral infarction, unspecified (stroke)",HIGH
"epilepsy, unspecified, not intractable",MEDIUM
"Acute tonsillitis, unspecified",LOW
Infectious gastroenteritis and colitis,MEDIUM
"Chronic kidney disease, stage 3",MEDIUM
allergic rhinitis due to pollen,LOW
D65 Disseminated intravascular coagulation,HIGH
"Amyotrophic lateral sclerosis (ALS) - acute emergency, rapid response",HIGH
K30 - Functional dyspepsia,LOW
atherosclerotic heart disease,MEDIUM
superficial injury of unspecified body region,LOW
end stage renal disease,HIGH
F41.1 Generalized anxiety disorder,MEDIUM
K21.0 Gastro-esophageal reflux with,MEDIUM
"G43.909 Migraine, unspecified, not",MEDIUM
"Functional dyspepsia - mild symptoms, no complications",LOW
"J18.9 - Pneumonia, unspecified organism",MEDIUM
"Panniculitis, unspecified",LOW
E10.10 Type 1 diabetes,HIGH
"Chronic obstructive pulmonary disease with exacerbation - moderate symptoms, requires monitoring",MEDIUM
Lateral epicondylitis - no acute distress,LOW
M81.0 - Age-related osteoporosis without fracture,MEDIUM
"F32.1 Major depressive disorder,",MEDIUM
"D50.9 Iron deficiency anemia,",LOW
"Pain in unspecified joint - mild symptoms, no complications",LOW
Chronic obstructive pulmonary disease with exacerbation,MEDIUM
Pain in unspecified joint - self-limiting condition,LOW
"post-traumatic stress disorder, unspecified",MEDIUM
"migraine, unspecified, not intractable",MEDIUM
Paroxysmal atrial fibrillation - needs specialist referral,MEDIUM
"M06.9 Rheumatoid arthritis, unspecified",MEDIUM
K80.20 Calculus of gallbladder,MEDIUM
J30.1 Allergic rhinitis due,LOW
"Acute pharyngitis, unspecified",LOW
Gastro-esophageal reflux with esophagitis,MEDIUM
"F32.1 - Major depressive disorder, single episode, moderate",MEDIUM
"Conjunctivitis, unspecified - patient stable, outpatient treatment",LOW
"Atopic dermatitis, unspecified",MEDIUM
"Dyslipidemia, unspecified - follow-up required in 1 week",MEDIUM
D65 - Disseminated intravascular coagulation,HIGH
"I50.9 Heart failure, unspecified",HIGH
"Acute respiratory distress syndrome - acute emergency, rapid response",HIGH
"Mild intermittent asthma, uncomplicated - stable but requires medication adjustment",MEDIUM
R10.9 - Unspecified abdominal pain,LOW
B18.2 Chronic viral hepatitis,MEDIUM
"I21.9 - Acute myocardial infarction, unspecified",HIGH
"J18.9 Pneumonia, unspecified organism",MEDIUM
obstructive sleep apnea,MEDIUM
"Acute pharyngitis, unspecified",LOW
"viral wart, unspecified",LOW
"Rheumatoid arthritis, unspecified - needs specialist referral",MEDIUM
"Intracranial injury, unspecified - life-threatening, immediate intervention",HIGH
Myalgia,LOW
"Crohn disease, unspecified",MEDIUM
End stage renal disease,HIGH
Obstructive sleep apnea - follow-up required in 1 week,MEDIUM
J44.1 - Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"J20.9 - Acute bronchitis, unspecified",MEDIUM
chronic viral hepatitis c,MEDIUM
A09 Infectious gastroenteritis and,MEDIUM
"malignant neoplasm of brain, unspecified",HIGH
Unspecified abdominal pain - no acute distress,LOW
L60.0 - Ingrowing nail,LOW
End stage renal disease,HIGH
"Viral infection, unspecified - minor condition, follow-up in 2 weeks",LOW
L60.0 - Ingrowing nail,LOW
K72.00 - Acute and subacute hepatic failure,HIGH
"F31.9 Bipolar disorder, unspecified",MEDIUM
"Malignant neoplasm of brain, unspecified - life-threatening, immediate intervention",HIGH
"bacterial infection, unspecified (severe)",HIGH
"otitis media, unspecified",LOW
B20 - Human immunodeficiency virus (HIV) disease,HIGH
"Constipation, unspecified",LOW
E11.9 Type 2 diabetes,MEDIUM
malignant neoplasm of prostate,HIGH
"Viral infection, unspecified - self-limiting condition",LOW
"Chronic kidney disease, stage 3 - needs specialist referral",MEDIUM
"M79.3 - Panniculitis, unspecified",LOW
C95.00 - Acute leukemia of unspecified cell type,HIGH
"Hypothyroidism, unspecified",MEDIUM
"M06.9 - Rheumatoid arthritis, unspecified",MEDIUM
"J03.90 - Acute tonsillitis, unspecified",LOW
"Thyrotoxicosis, unspecified",MEDIUM
Chronic obstructive pulmonary disease with exacerbation - needs specialist referral,MEDIUM
End stage renal disease,HIGH
N18.6 End stage renal,HIGH
"malignant neoplasm of colon, unspecified",HIGH
primary insomnia,LOW
Atherosclerotic heart disease - stable but requires medication adjustment,MEDIUM
Calculus of gallbladder without obstruction,MEDIUM
"thrombocytopenia, unspecified",MEDIUM
Psoriasis vulgaris - stable but requires medication adjustment,MEDIUM
"Crohn disease, unspecified",MEDIUM
Pulmonary embolism without acute cor pulmonale,HIGH
I48.0 Paroxysmal atrial fibrillation,MEDIUM
type 1 diabetes with ketoacidosis,HIGH
acne vulgaris,LOW
S60.0 Contusion of finger,LOW
Calculus of gallbladder without obstruction - stable but requires medication adjustment,MEDIUM
"Type 1 diabetes with ketoacidosis - critical condition, ICU admission",HIGH
low back pain,LOW
L60.0 - Ingrowing nail,LOW
"E78.5 - Dyslipidemia, unspecified",MEDIUM
"viral infection, unspecified",LOW
"K50.90 - Crohn disease, unspecified",MEDIUM
"Gastritis, unspecified",LOW
"Iron deficiency anemia, unspecified",LOW
Benign prostatic hyperplasia without obstruction,MEDIUM
"Acute leukemia of unspecified cell type - advanced stage, palliative care discussed",HIGH
Chronic gingivitis - self-limiting condition,LOW
"Urticaria, unspecified - mild symptoms, no complications",LOW
"Allergic rhinitis, unspecified - mild symptoms, no complications",LOW
"H61.20 - Impacted cerumen, unspecified ear",LOW
parkinson disease,MEDIUM
"acute respiratory failure, unspecified",HIGH
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
"G30.9 Alzheimer disease, unspecified",HIGH
"J45.20 Mild intermittent asthma,",MEDIUM
M81.0 - Age-related osteoporosis without fracture,MEDIUM
"cerebral infarction, unspecified (stroke)",HIGH
"Alzheimer disease, unspecified",HIGH
contusion of finger,LOW
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
"Heart failure, unspecified - advanced stage, palliative care discussed",HIGH
I25.10 Atherosclerotic heart disease,MEDIUM
"M47.812 - Spondylosis with radiculopathy, cervical",MEDIUM
"Cerebral infarction, unspecified (stroke)",HIGH
M54.5 Low back pain,LOW
"Schizophrenia, unspecified",HIGH
T79.4 - Traumatic shock,HIGH
